time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-08-30T08:15:24.508Z,61.92,-149.2331,19.3,1.1,ml,,,,0.55,ak,ak023b4cwpz6,2023-08-30T08:17:16.095Z,"19 km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-30T08:10:18.372Z,38.1807,-117.8732,11,1.4,ml,8,134.23,0.09,0.1746,nn,nn00865266,2023-08-30T17:43:53.312Z,"31 km SE of Mina, Nevada",earthquake,,1.4,0.5,4,reviewed,nn,nn
2023-08-30T07:59:39.525Z,60.9215,-151.2565,46.2,1.2,ml,,,,1.17,ak,ak023b4ckr1c,2023-08-30T08:01:50.385Z,"17 km SSW of Tyonek, Alaska",earthquake,,1.7,,,automatic,ak,ak
2023-08-30T07:38:06.280Z,51.8153333333333,179.578333333333,13.64,1.25,ml,4,326,,0.21,av,av91114283,2023-08-30T20:37:42.750Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,2.42,2.14,0.338339827758324,4,reviewed,av,av
2023-08-30T07:32:54.110Z,43.7306,-129.536,10,3.4,ml,23,286,3.976,0.46,us,us7000ks0z,2023-08-30T08:06:30.040Z,"off the coast of Oregon",earthquake,5.25,2.027,0.05,52,reviewed,us,us
2023-08-30T07:29:29.627Z,60.2575,-141.7414,19.2,1.4,ml,,,,0.68,ak,ak023b4ceajy,2023-08-30T15:22:58.930Z,"137 km NW of Yakutat, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-08-30T06:52:36.560Z,18.0966,-68.599,141,3.63,md,11,219,0.4706,0.46,pr,pr2023242000,2023-08-30T13:44:51.040Z,"31 km S of Boca de Yuma, Dominican Republic",earthquake,4.64,2.26,0.37,5,reviewed,pr,pr
2023-08-30T06:05:42.500Z,33.8161667,-117.6611667,9.08,1.08,ml,36,54,0.04812,0.16,ci,ci39654722,2023-08-30T20:10:45.490Z,"10 km SW of Corona, CA",earthquake,0.23,0.39,0.128,22,reviewed,ci,ci
2023-08-30T06:01:26.850Z,19.3864994049072,-155.27783203125,1.29999995231628,1.75,ml,18,67,,0.119999997,hv,hv73552727,2023-08-30T06:06:56.490Z,"7 km SW of Volcano, Hawaii",earthquake,0.22,0.200000003,0.2,6,automatic,hv,hv
2023-08-30T06:00:18.860Z,36.5535,-121.1063333,4.96,1.23,md,18,122,0.03784,0.14,nc,nc73930816,2023-08-30T19:28:12.809Z,"4 km NE of Pinnacles, CA",earthquake,0.36,0.6,0.167,16,reviewed,nc,nc
2023-08-30T05:50:57.010Z,17.951,-66.932,15.78,2.47,md,15,203,0.03064,0.12,pr,pr71422598,2023-08-30T07:15:38.670Z,"Puerto Rico region",earthquake,0.63,0.32,0.187187037425772,11,reviewed,pr,pr
2023-08-30T05:49:27.870Z,38.8349991,-122.81633,1.43,1.09,md,13,113,0.01258,0.02,nc,nc73930811,2023-08-30T06:37:13.206Z,"8 km W of Cobb, CA",earthquake,0.3,0.79,0.24,14,automatic,nc,nc
2023-08-30T05:49:06.972Z,39.3476,-119.9965,7.7,1,ml,17,89.52,0.063,0.1525,nn,nn00865265,2023-08-30T17:15:58.638Z,"5 km SSE of Floriston, California",earthquake,,1.4,0.23,9,reviewed,nn,nn
2023-08-30T05:45:04.861Z,39.3485,-119.9959,7.6,1,ml,16,89.47,0.064,0.1321,nn,nn00865263,2023-08-30T17:06:35.469Z,"5 km SSE of Floriston, California",earthquake,,1.3,0.24,8,reviewed,nn,nn
2023-08-30T05:08:35.646Z,61.4894,-147.7744,20.8,1.2,ml,,,,0.58,ak,ak023b4b2y0c,2023-08-30T05:10:36.098Z,"36 km S of Glacier View, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-08-30T05:05:42.548Z,31.60325829,-104.102984,6.234399414,2.2,ml,20,58,0.03176024668,0.1,tx,tx2023qysi,2023-08-30T08:39:52.655Z,"43 km NW of Toyah, Texas",earthquake,0.6939308466,0.5510098019000002,0.1,21,reviewed,tx,tx
2023-08-30T04:54:57.743Z,66.1213,-149.0597,2,1.1,ml,,,,1.63,ak,ak023b4arf1x,2023-08-30T04:57:51.707Z,"12 km N of Stevens Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-08-30T04:38:14.792Z,55.428,162.7043,35,4.8,mb,70,83,3.386,0.81,us,us7000ks0i,2023-08-30T05:03:00.040Z,"90 km S of Ust’-Kamchatsk Staryy, Russia",earthquake,8.42,1.904,0.032,303,reviewed,us,us
2023-08-30T04:23:44.520Z,19.3571662902832,-155.305328369141,2.16000008583069,1.83000004,md,16,94,,0.0700000003,hv,hv73552642,2023-08-30T04:26:48.400Z,"12 km SW of Volcano, Hawaii",earthquake,0.3,0.610000014,0.639999986,14,automatic,hv,hv
2023-08-30T03:51:03.497Z,60.5486,-147.4816,18.9,1.6,ml,,,,0.2,ak,ak023b4a583x,2023-08-30T03:52:28.257Z,"56 km SW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-30T03:35:27.590Z,36.1358333333333,-89.7186666666667,5.8,2.04,md,32,70,0.02078,0.1,nm,nm60547371,2023-08-30T12:00:35.740Z,"8 km SW of Caruthersville, Missouri",earthquake,0.17,0.47,0.140680596943373,26,reviewed,nm,nm
2023-08-30T03:30:00.930Z,34.68516667,-96.16083333,1.46,1.18,ml,33,106,0.3995216002,0.4,ok,ok2023qype,2023-08-31T13:36:52.262Z,"12 km SW of Ashland, Oklahoma",earthquake,,1.2,0.23,11,reviewed,ok,ok
2023-08-30T03:19:01.080Z,37.1823333,-112.8941667,20.53,1.68,ml,11,109,0.1752,0.1,uu,uu60548752,2023-08-30T13:36:47.800Z,"9 km E of Springdale, Utah",earthquake,0.43,0.94,0.239,4,reviewed,uu,uu
2023-08-30T03:11:24.890Z,35.5035,-118.4016667,5.53,1.41,ml,25,42,0.1695,0.14,ci,ci39654698,2023-08-30T19:58:38.140Z,"12 km SE of Bodfish, CA",earthquake,0.19,1.05,0.207,14,reviewed,ci,ci
2023-08-30T02:54:52.360Z,63.569,-147.2603,4.3,1.3,ml,,,,0.45,ak,ak023b49kjf8,2023-08-30T02:58:24.871Z,"Central Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-30T02:43:10.980Z,38.8241653,-122.8108368,1.24,1.09,md,19,84,0.000973,0.02,nc,nc73930746,2023-08-30T03:06:14.124Z,"7 km NW of The Geysers, CA",earthquake,0.2,0.43,0.11,21,automatic,nc,nc
2023-08-30T02:42:49.057Z,38.1831,-117.7365,11.9,1.8,ml,8,81.79,0.109,0.1509,nn,nn00865260,2023-08-30T16:32:20.685Z,"Nevada",earthquake,,1.7,0.37,6,reviewed,nn,nn
2023-08-30T02:32:09.700Z,40.2251667,-124.1726667,11.55,1.92,md,30,136,0.02483,0.15,nc,nc73930736,2023-08-30T19:22:14.636Z,"15 km SE of Petrolia, CA",earthquake,0.22,0.26,0.104,20,reviewed,nc,nc
2023-08-30T02:30:35.430Z,40.225,-124.1758333,12.94,1.58,md,15,156,0.02532,0.09,nc,nc73930731,2023-08-30T19:22:13.637Z,"14 km SE of Petrolia, CA",earthquake,0.29,0.46,0.221,12,reviewed,nc,nc
2023-08-30T02:24:57.400Z,35.5795,-120.753,6.57,1.19,md,39,39,0.03436,0.13,nc,nc73930726,2023-08-30T19:22:13.785Z,"5 km NW of Templeton, CA",earthquake,0.21,0.51,0.14,18,reviewed,nc,nc
2023-08-30T02:17:05.308Z,-6.3978,103.751,41.47,5,mb,65,152,2.173,0.7,us,us7000ks06,2023-08-30T04:56:56.040Z,"southwest of Sumatra, Indonesia",earthquake,9.1,6.882,0.084,46,reviewed,us,us
2023-08-30T02:15:59.690Z,17.8775,-66.8558333333333,10.31,2.42,md,7,243,0.09955,0.03,pr,pr71422588,2023-08-30T02:57:13.490Z,"Puerto Rico region",earthquake,0.95,0.9,0.216711488026879,7,reviewed,pr,pr
2023-08-30T01:43:37.450Z,62.8744,-150.4666,80.6,1.3,ml,,,,0.47,ak,ak023b48wpsh,2023-08-30T01:45:37.768Z,"44 km NNE of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-08-30T01:34:55.983Z,62.1055,-150.2567,35.6,1.8,ml,,,,0.52,ak,ak023b48utry,2023-08-30T01:37:18.202Z,"Central Alaska",earthquake,,6.2,,,automatic,ak,ak
2023-08-30T01:18:40.675Z,63.5016,-151.0958,0,1.1,ml,,,,0.86,ak,ak023b48rd50,2023-08-30T01:21:01.421Z,"31 km E of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-30T00:32:44.900Z,44.537333333333336,-122.54483333333333,11.92,1.73,ml,20,67,0.1386,0.25,uw,uw61946487,2023-08-30T17:42:29.310Z,"Oregon",earthquake,0.38,1.45,0.23852289801911364,16,reviewed,uw,uw
2023-08-30T00:07:24.380Z,18.0923333333333,-66.8445,5.98,2.35,md,6,171,0.1212,0.08,pr,pr71422578,2023-08-30T00:24:42.500Z,"6 km N of Yauco, Puerto Rico",earthquake,0.68,0.57,0.110271437769391,4,reviewed,pr,pr
2023-08-29T23:54:00.310Z,40.2121667,-121.1611667,-0.41,1.71,md,14,80,0.2448,0.16,nc,nc73930686,2023-08-30T21:48:14.483Z,"1 km NW of Prattville, CA",earthquake,0.67,10.05,0.243,14,reviewed,nc,nc
2023-08-29T23:53:16.623Z,63.1323,-151.4524,2.1,1.6,ml,,,,0.41,ak,ak023b2yj05q,2023-08-29T23:54:57.582Z,"47 km SSE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-29T23:30:49.790Z,35.0345,-117.6878333,-0.83,1.71,ml,25,100,0.1001,0.15,ci,ci39654626,2023-08-30T19:33:47.429Z,"5 km NW of Boron, CA",quarry blast,0.42,31.61,0.111,26,reviewed,ci,ci
2023-08-29T23:27:05.180Z,44.6308333,-110.137,6.39,1.49,md,5,163,0.04318,0.13,uu,uu60548732,2023-08-30T14:02:31.290Z,"43 km SSW of Silver Gate, Montana",earthquake,1.64,1.87,0.194,5,reviewed,uu,uu
2023-08-29T23:07:10.560Z,44.616,-110.1178333,2.06,1.24,md,5,177,0.06218,0.18,uu,uu60548727,2023-08-30T13:59:23.870Z,"44 km SSW of Silver Gate, Montana",earthquake,1.08,12.93,0.373,3,reviewed,uu,uu
2023-08-29T23:01:36.610Z,17.936,-66.9318333333333,16.84,2.48,md,17,217,0.04223,0.11,pr,pr71422573,2023-08-29T23:21:12.660Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.51,0.31,0.140210801904833,7,reviewed,pr,pr
2023-08-29T22:57:26.578Z,56.8232,-155.5855,65.1,2.6,ml,,,,0.22,ak,ak023b2xyg6p,2023-08-29T22:58:46.289Z,"Alaska Peninsula",earthquake,,3.3,,,automatic,ak,ak
2023-08-29T22:55:09.980Z,40.4486667,-125.4815,10,2.63,md,31,276,0.8733,0.28,nc,nc73930676,2023-08-30T02:52:13.898Z,"102 km W of Petrolia, CA",earthquake,1.97,31.61,0.222,28,reviewed,nc,nc
2023-08-29T22:53:19.995Z,63.5395,-149.1604,102,1.9,ml,,,,0.15,ak,ak023b2xxktb,2023-08-29T22:55:32.907Z,"19 km NNW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-08-29T22:47:59.700Z,45.858666666666664,-122.45416666666667,-0.94,1.35,ml,7,211,0.07776,0.13,uw,uw61946402,2023-08-31T00:54:26.090Z,"3 km WSW of Yacolt, Washington",explosion,1.59,31.61,0.28199876419961223,5,reviewed,uw,uw
2023-08-29T22:43:05.890Z,19.3633327484131,-155.298004150391,1.79999995231628,1.70000005,md,15,105,,0.170000002,hv,hv73552382,2023-08-29T22:46:00.630Z,"",earthquake,0.43,0.629999995,0.5,13,automatic,hv,hv
2023-08-29T22:38:01.375Z,-8.4881,118.3618,131.497,4.7,mb,38,78,0.67,0.65,us,us7000krzg,2023-08-29T22:55:31.040Z,"12 km WNW of Dompu, Indonesia",earthquake,8.68,3.043,0.102,29,reviewed,us,us
2023-08-29T22:18:24.263Z,62.2393,-151.9095,142.4,1.4,ml,,,,1.5,ak,ak023b2xq32y,2023-08-29T22:20:47.779Z,"Central Alaska",earthquake,,1.6,,,automatic,ak,ak
2023-08-29T22:05:10.600Z,42.1231667,-112.3156667,1.77,1.17,md,6,204,0.1527,0.2,uu,uu60548712,2023-08-29T22:29:50.120Z,"",earthquake,1.29,31.61,0.195,4,reviewed,uu,uu
2023-08-29T21:31:29.580Z,-0.5161,-80.3522,29.592,4.6,mb,53,141,0.533,1.16,us,us7000krz9,2023-08-29T22:24:46.638Z,"12 km NE of Bahía de Caráquez, Ecuador",earthquake,6.43,5.942,0.081,46,reviewed,us,us
2023-08-29T21:28:20.739Z,36.4465,-98.78466667,7.32,1.68,ml,90,52,0.01349735136,0.22,ok,ok2023qydg,2023-08-30T12:02:27.220Z,"17 km SSE of Waynoka, Oklahoma",earthquake,,0.3,0.24,30,reviewed,ok,ok
2023-08-29T21:11:00.922Z,61.546,-141.0169,0.1,1.5,ml,,,,0.95,ak,ak023b2x33nw,2023-08-29T21:12:50.131Z,"102 km E of McCarthy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-29T21:02:01.720Z,37.7096667,-122.0365,4.97,2.15,md,74,35,0.02611,0.12,nc,nc73930641,2023-08-30T15:55:35.854Z,"4 km NNE of Fairview, CA",earthquake,0.15,0.19,0.13,59,reviewed,nc,nc
2023-08-29T21:01:37.690Z,36.2306667,-120.289,9.61,1.24,md,19,187,0.1217,0.08,nc,nc71131289,2023-08-30T02:00:12.594Z,"12 km NNE of Coalinga, CA",earthquake,0.48,0.62,0.329,7,reviewed,nc,nc
2023-08-29T20:56:19.115Z,61.994,-150.3172,13,1.2,ml,,,,0.2,ak,ak023b2wrcon,2023-08-29T20:58:09.397Z,"30 km SW of Susitna North, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-29T20:53:28.390Z,33.6473333,-116.7261667,15.8,1.97,ml,67,24,0.04869,0.15,ci,ci39654514,2023-08-29T23:03:14.901Z,"10 km S of Idyllwild, CA",earthquake,0.13,0.24,0.164,25,reviewed,ci,ci
2023-08-29T20:48:40.080Z,19.3763332366943,-155.285507202148,1.77999997138977,1.85000002,md,16,92,,0.159999996,hv,hv73552237,2023-08-29T20:51:44.280Z,"9 km SW of Volcano, Hawaii",earthquake,0.28,0.340000004,0.639999986,14,automatic,hv,hv
2023-08-29T20:12:53.420Z,37.4776667,-118.7766667,11.58,1.03,md,14,228,0.1197,0.01,nc,nc73930631,2023-08-29T23:24:12.736Z,"13 km SW of Toms Place, CA",earthquake,1.65,1.01,0.112,14,reviewed,nc,nc
2023-08-29T19:51:03.326Z,62.0674,-152.2035,87.2,1.4,ml,,,,0.3,ak,ak023b2w4ta4,2023-08-29T19:53:25.211Z,"43 km W of Skwentna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-08-29T19:49:58.440Z,38.8243332,-122.7900009,1.44,1.02,md,12,51,0.01324,0.01,nc,nc73930616,2023-08-29T20:26:15.731Z,"6 km W of Cobb, CA",earthquake,0.28,0.51,0.25,15,automatic,nc,nc
2023-08-29T19:38:07.050Z,32.7771667,-116.8873333,-0.43,1.21,ml,19,87,0.06222,0.29,ci,ci39654410,2023-08-29T22:47:07.354Z,"6 km NE of Rancho San Diego, CA",quarry blast,0.49,31.61,0.125,11,reviewed,ci,ci
2023-08-29T19:08:06.834Z,37.1543,-115.5215,12.8,1.8,ml,42,75.9,0.346,0.1731,nn,nn00865255,2023-08-29T23:19:29.883Z,"39 km SW of Alamo, Nevada",earthquake,,2,0.32,23,reviewed,nn,nn
2023-08-29T19:04:13.330Z,35.0555,-118.3403333,-0.93,1.21,ml,20,60,0.06476,0.18,ci,ci39654370,2023-08-29T22:38:35.605Z,"13 km SE of Tehachapi, CA",quarry blast,0.43,31.61,0.104,11,reviewed,ci,ci
2023-08-29T18:52:21.936Z,37.1478,-115.5247,0,1.2,ml,25,160.51,0.342,0.1787,nn,nn00865251,2023-08-29T22:46:48.804Z,"40 km SW of Alamo, Nevada",earthquake,,0,0.4,12,reviewed,nn,nn
2023-08-29T18:48:41.410Z,19.3841666666667,-155.284,1.22,1.89,ml,19,73,,0.08,hv,hv73552072,2023-08-29T19:09:15.990Z,"Island of Hawaii, Hawaii",earthquake,0.14,0.13,0.148647364366495,12,reviewed,hv,hv
2023-08-29T18:20:05.109Z,-43.5033,159.703,10,4.3,mb,16,136,5.68,0.86,us,us7000krxm,2023-08-29T21:31:33.040Z,"",earthquake,6.09,1.969,0.265,4,reviewed,us,us
2023-08-29T18:18:20.371Z,61.322,-150.9697,56.6,1,ml,,,,0.28,ak,ak023b2vccd1,2023-08-29T18:20:18.862Z,"21 km NNE of Beluga, Alaska",earthquake,,5.3,,,automatic,ak,ak
2023-08-29T18:11:29.045Z,-43.4093,159.6957,10,4.4,mb,19,137,5.721,0.76,us,us7000krxl,2023-08-29T20:34:00.040Z,"southeast of Australia",earthquake,11.98,1.953,0.178,9,reviewed,us,us
2023-08-29T18:11:14.368Z,57.8594,-159.6475,0,2.3,ml,,,,0.74,ak,ak023b2vau70,2023-08-29T18:14:01.652Z,"Bristol Bay",earthquake,,0.4,,,automatic,ak,ak
2023-08-29T18:08:08.952Z,37.153,-115.5262,15.1,1.7,ml,41,75.6,0.342,0.1643,nn,nn00865239,2023-08-29T22:24:49.185Z,"39 km SW of Alamo, Nevada",earthquake,,2.2,0.33,24,reviewed,nn,nn
2023-08-29T17:50:33.223Z,37.1434,-115.5228,0,1.1,ml,25,161.43,0.343,0.1493,nn,nn00865238,2023-08-29T21:23:57.715Z,"40 km SW of Alamo, Nevada",earthquake,,0,0.16,14,reviewed,nn,nn
2023-08-29T17:43:33.233Z,37.1518,-115.5235,10.8,1.2,ml,25,165.48,0.344,0.1449,nn,nn00865236,2023-08-29T20:58:54.275Z,"39 km SW of Alamo, Nevada",earthquake,,4.7,0.21,15,reviewed,nn,nn
2023-08-29T17:32:51.480Z,38.8333333,-122.8048333,2.16,1.31,md,43,32,0.01073,0.03,nc,nc73930586,2023-08-30T00:20:14.041Z,"7 km W of Cobb, CA",earthquake,0.13,0.21,0.212,37,reviewed,nc,nc
2023-08-29T17:32:23.650Z,37.1463,-115.5218,11.6,2.2,ml,46,100.34,0.345,0.1274,nn,nn00865234,2023-08-29T19:44:01.974Z,"39 km SW of Alamo, Nevada",earthquake,,2.8,0.29,26,reviewed,nn,nn
2023-08-29T17:11:48.966Z,63.2784,-150.4323,122.3,2.1,ml,,,,0.28,ak,ak023b2upgy8,2023-08-29T17:43:24.040Z,"70 km ESE of Denali National Park, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-08-29T17:01:53.310Z,33.4861667,-116.5863333,9.32,1.08,ml,36,62,0.01576,0.12,ci,ci39654242,2023-08-29T22:32:57.150Z,"11 km SE of Anza, CA",earthquake,0.14,0.25,0.144,25,reviewed,ci,ci
2023-08-29T16:55:12.950Z,17.9425,-66.9621666666667,6.63,2.63,md,16,217,0.05889,0.07,pr,pr71422548,2023-08-29T17:16:23.490Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.57,0.23,0.153665720059205,8,reviewed,pr,pr
2023-08-29T16:31:07.030Z,19.6393,-65.6536,33,3.66,md,9,301,1.4553,0.22,pr,pr2023241000,2023-08-29T16:57:42.512Z,"135 km N of Suárez, Puerto Rico",earthquake,1.56,17.4,0.09,6,reviewed,pr,pr
2023-08-29T16:23:06.910Z,52.881,-169.502,-1.73,1.77,ml,7,159,,0.21,av,av92024336,2023-08-30T00:04:59.220Z,"43 km W of Nikolski, Alaska",earthquake,1.6,0.41,0.23268320088189,7,reviewed,av,av
2023-08-29T16:22:49.850Z,18.0001666666667,-66.9253333333333,16.76,2.21,md,5,164,0.05047,0.09,pr,pr71422523,2023-08-29T16:31:01.010Z,"1 km NW of Fuig, Puerto Rico",earthquake,2.61,1.21,0.00145238163512307,4,reviewed,pr,pr
2023-08-29T16:17:19.127Z,54.4526,-163.2331,10,2.9,ml,19,212,0.354,0.42,us,us7000krzq,2023-08-31T15:16:13.040Z,"46 km SSE of False Pass, Alaska",earthquake,1.8,1.976,0.115,10,reviewed,us,us
2023-08-29T15:24:20.510Z,51.7108333333333,179.925333333333,9.18,1.74,ml,4,345,,0.06,av,av91114253,2023-08-30T01:40:07.860Z,"238 km W of Adak, Alaska",earthquake,1.91,0.5,0.173529452064926,4,reviewed,av,av
2023-08-29T15:17:30.699Z,36.24783333,-95.80066667,0,1.47,ml,31,121,0.337433784,0.57,ok,ok2023qxra,2023-08-30T14:15:19.705Z,"5 km ESE of Owasso, Oklahoma",quarry blast,,0.5,0.29,5,reviewed,ok,ok
2023-08-29T15:12:36.201Z,62.2626,-152.1826,6.8,1.4,ml,,,,0.34,ak,ak023b2tish0,2023-08-29T15:14:45.553Z,"50 km NW of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-08-29T15:07:27.260Z,63.0929,-150.3922,8.9,1.1,ml,,,,0.15,ak,ak023b2thp7a,2023-08-29T15:08:53.996Z,"69 km NNE of Petersville, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-29T14:59:03.114Z,61.4995,-146.5808,30.4,1.2,ml,,,,0.71,ak,ak023b2t7cv4,2023-08-29T15:01:26.982Z,"42 km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-29T14:26:09.653Z,61.3599,-150.0003,40.4,1.6,ml,,,,0.73,ak,ak023b2t0aud,2023-08-29T14:27:56.058Z,"1 km W of Point MacKenzie, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-08-29T14:21:16.280Z,19.2105,-67.1701666666667,32.41,3.41,md,8,301,0.7412,0.23,pr,pr71422508,2023-08-29T14:55:24.840Z,"Mona Passage",earthquake,1.35,8.09,0.0509853592182727,4,reviewed,pr,pr
2023-08-29T14:12:54.392Z,61.3178,-146.7954,17.8,2.6,ml,,,,0.62,ak,ak023b2sxe9o,2023-08-29T15:04:29.040Z,"31 km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-29T14:04:16.620Z,35.4766667,-120.7818333,6.19,1.88,md,45,58,0.08621,0.07,nc,nc73930546,2023-08-29T18:53:19.216Z,"10 km W of Atascadero, CA",earthquake,0.17,0.54,0.167,29,reviewed,nc,nc
2023-08-29T13:57:38.938Z,5.8923,126.0359,112.817,4.4,mb,26,114,1.255,0.59,us,us7000krvh,2023-08-29T15:24:51.040Z,"40 km ESE of Mangili, Philippines",earthquake,9.59,7.977,0.123,19,reviewed,us,us
2023-08-29T13:51:36.650Z,37.6205,-121.8673333,7.26,1.17,md,21,99,0.02611,0.07,nc,nc73930541,2023-08-30T01:35:14.448Z,"3 km NE of Sunol, CA",earthquake,0.33,0.22,0.178,14,reviewed,nc,nc
2023-08-29T13:23:38.430Z,19.1668338775635,-155.48583984375,31.8899993896484,2.05999994,md,43,102,,0.100000001,hv,hv73551572,2023-08-29T13:26:50.220Z,"4 km S of Pāhala, Hawaii",earthquake,0.51,1,1.07000005,11,automatic,hv,hv
2023-08-29T13:22:44.630Z,18.0063333333333,-66.8376666666667,13.63,2.07,md,4,163,0.05035,0.09,pr,pr71422498,2023-08-29T14:00:34.880Z,"2 km NW of Indios, Puerto Rico",earthquake,5.35,2.4,0.0424257873259593,3,reviewed,pr,pr
2023-08-29T13:20:24.542Z,61.0457,-152.3188,15.9,2.8,ml,,,,0.34,ak,ak023b2sdm3a,2023-08-29T22:45:06.890Z,"63 km W of Tyonek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-29T13:18:50.240Z,37.479,-118.7788333,10.96,1.42,md,23,109,0.09275,0.04,nc,nc73930521,2023-08-29T19:46:15.517Z,"13 km SW of Toms Place, CA",earthquake,0.49,0.85,0.183,23,reviewed,nc,nc
2023-08-29T13:17:20.450Z,44.6588333,-110.4316667,5.29,1.34,ml,13,136,0.07842,0.2,uu,uu60548672,2023-08-29T13:40:10.230Z,"41 km SSE of Mammoth, Wyoming",earthquake,0.88,2.77,0.497,3,reviewed,uu,uu
2023-08-29T13:15:55.158Z,27.6999,139.8139,493.155,4.4,mb,58,97,5.398,0.55,us,us7000krv6,2023-08-29T13:40:42.040Z,"Bonin Islands, Japan region",earthquake,12.57,7.758,0.084,40,reviewed,us,us
2023-08-29T13:11:22.525Z,61.001,-147.0798,20.7,1.7,ml,,,,0.45,ak,ak023b2sboho,2023-08-29T13:14:18.841Z,"26 km NW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-29T12:43:34.141Z,-14.996,167.3034,143.038,4.5,mb,29,146,6.227,0.82,us,us7000kruz,2023-08-29T13:05:23.040Z,"25 km ENE of Port-Olry, Vanuatu",earthquake,10.85,7.985,0.124,22,reviewed,us,us
2023-08-29T12:39:42.869Z,50.9749,178.4065,72.1,2.9,ml,,,,0.45,ak,ak023b2rwbcx,2023-08-29T18:26:19.015Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,10.9,,,reviewed,ak,ak
2023-08-29T12:37:12.511Z,35.7113,140.8847,45.806,4.7,mb,31,160,2.319,0.42,us,us7000kruy,2023-08-29T13:33:54.040Z,"near the east coast of Honshu, Japan",earthquake,8.41,8.553,0.147,14,reviewed,us,us
2023-08-29T12:29:49.559Z,60.9938,-147.0644,22.9,2.5,ml,,,,0.3,ak,ak023b2ru5uz,2023-08-29T13:10:45.434Z,"25 km NW of Tatitlek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-08-29T12:13:45.220Z,40.7858333,-122.1603333,14.06,2.09,md,36,34,0.09207,0.11,nc,nc73930516,2023-08-29T18:43:15.163Z,"17 km NNE of Bella Vista, CA",earthquake,0.21,0.4,0.161,37,reviewed,nc,nc
2023-08-29T12:02:59.800Z,19.3608333333333,-155.287,2.19,1.18,md,40,115,,0.13,hv,hv73551467,2023-08-29T15:59:04.340Z,"Island of Hawaii, Hawaii",earthquake,0.19,0.28,0.191171684048042,9,reviewed,hv,hv
2023-08-29T11:51:27.987Z,60.9068,-151.6977,87.4,2.6,ml,,,,0.4,ak,ak023b2rdedz,2023-08-29T11:53:12.372Z,"32 km NW of Nikiski, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-08-29T11:08:09.380Z,61.293,-148.3502,47.2,1.2,ml,,,,1.08,ak,ak023b2r454a,2023-08-29T11:10:26.255Z,"35 km ESE of Knik River, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-08-29T10:47:19.420Z,19.3409996032715,-155.304840087891,2.67000007629395,1.84000003,md,29,71,,0.159999996,hv,hv73551382,2023-08-29T10:50:11.580Z,"13 km SSW of Volcano, Hawaii",earthquake,0.31,0.639999986,0.970000029,14,automatic,hv,hv
2023-08-29T10:15:27.780Z,13.1986,143.825,146.165,5.2,mb,113,39,1.087,0.75,us,us7000kruj,2023-08-31T10:25:36.291Z,"Guam region",earthquake,9.34,6.553,0.028,425,reviewed,us,us
2023-08-29T10:13:45.400Z,34.0375,-118.345,7.89,1.63,ml,47,51,0.03504,0.16,ci,ci39653954,2023-08-29T21:56:43.721Z,"4 km NNE of Baldwin Hills, CA",earthquake,0.2,0.31,0.163,26,reviewed,ci,ci
2023-08-29T10:02:29.385Z,61.3611,-146.7052,23.2,1.4,ml,,,,0.82,ak,ak023b2qhgre,2023-08-29T10:04:39.354Z,"Southern Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-29T10:01:01.330Z,48.758,-121.83716666666666,-0.65,1.05,ml,7,98,0.04989,0.3,uw,uw61945642,2023-08-29T23:04:43.530Z,"16 km SSE of Glacier, Washington",earthquake,0.59,1.47,0.12443359634354023,5,reviewed,uw,uw
