time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-08-31T14:58:46.389Z,-17.6807,-178.7787,554.854,4.4,mb,33,83,4.644,0.83,us,us7000ksei,2023-08-31T15:22:44.040Z,"206 km ENE of Levuka, Fiji",earthquake,9.73,9.668,0.089,36,reviewed,us,us
2023-08-31T14:56:25.940Z,19.1714992523193,-155.481826782227,28.0300006866455,1.91999996,md,30,164,,0.100000001,hv,hv73554837,2023-08-31T14:59:34.050Z,"3 km S of Pāhala, Hawaii",earthquake,0.72,1.17999995,0.660000026,7,automatic,hv,hv
2023-08-31T14:48:43.657Z,63.0277,-151.5485,0,1.5,ml,,,,1.03,ak,ak023b647s7h,2023-08-31T14:50:39.255Z,"57 km S of Denali National Park, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-08-31T14:08:35.334Z,61.6383,-149.6235,28.4,1.8,ml,,,,0.74,ak,ak023b63z6x9,2023-08-31T14:10:09.452Z,"1 km NW of Meadow Lakes, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T14:04:32.884Z,66.3237,-150.9015,9.4,1.6,ml,,,,0.91,ak,ak023b63ybvc,2023-08-31T14:06:37.685Z,"71 km SSE of Bettles, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T13:52:06.600Z,32.9631653,-115.8626633,7.43,2.84,ml,89,21,0.03332,0.26,ci,ci39655834,2023-08-31T17:25:39.105Z,"24 km WSW of Westmorland, CA",earthquake,0.18,0.5,0.258,22,automatic,ci,ci
2023-08-31T13:36:48.780Z,32.34,-115.0778333,15.05,2.36,ml,15,132,0.03703,0.27,ci,ci39655826,2023-08-31T13:40:26.319Z,"6 km NNE of Guadalupe Victoria, B.C., MX",earthquake,1.27,0.78,0.214,27,automatic,ci,ci
2023-08-31T13:24:20.177Z,38.5196,-119.5241,4,1.4,ml,10,168.12,0.066,0.1613,nn,nn00865308,2023-08-31T13:26:58.482Z,"4 km W of Walker, California",earthquake,,0.7,0.16,5,automatic,nn,nn
2023-08-31T13:21:14.809Z,62.0177,-141.9176,0,1.6,ml,,,,0.44,ak,ak023b63gi1k,2023-08-31T13:22:37.689Z,"69 km SE of Nabesna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-08-31T13:18:11.759Z,64.3175,-150.8577,0.8,1.6,ml,,,,0.66,ak,ak023b63funr,2023-08-31T13:20:25.963Z,"76 km S of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T12:58:32.320Z,19.1828327178955,-155.497497558594,33.9599990844727,2.11,ml,41,90,,0.119999997,hv,hv73554717,2023-08-31T13:04:02.640Z,"2 km SW of Pāhala, Hawaii",earthquake,0.5,0.699999988,3.94,5,automatic,hv,hv
2023-08-31T12:54:26.160Z,31.6278333,-115.9936667,9.39,2.55,ml,7,75,0.296,0.13,ci,ci39655810,2023-08-31T12:57:59.926Z,"55 km E of Maneadero, B.C., MX",earthquake,0.41,1.82,0.191,19,automatic,ci,ci
2023-08-31T12:48:44.920Z,19.3656666666667,-155.288,2.35,1.94,ml,24,112,,0.12,hv,hv73554712,2023-08-31T15:22:33.810Z,"10 km SSW of Volcano, Hawaii",earthquake,0.22,0.32,0.0959777304667802,12,reviewed,hv,hv
2023-08-31T12:36:05.430Z,44.7835,-111.1026667,8.69,1.43,ml,14,100,0.01296,0.12,uu,uu60548837,2023-08-31T14:04:10.770Z,"7 km ENE of Hebgen Lake Estates, Montana",earthquake,0.47,0.9,0.23,3,reviewed,uu,uu
2023-08-31T12:35:22.390Z,36.9536667,-121.6443329,5.21,2.09,md,36,42,,0.15,nc,nc73931301,2023-08-31T12:57:14.581Z,"7 km N of Aromas, CA",earthquake,0.3,0.52,0.26,37,automatic,nc,nc
2023-08-31T12:31:10.910Z,33.0211667,-117.865,16.62,1.59,ml,13,238,0.5544,0.18,ci,ci39655802,2023-08-31T12:34:50.787Z,"50 km ENE of San Clemente Is. (SE tip), CA",earthquake,1.82,14.12,0.094,18,automatic,ci,ci
2023-08-31T12:18:18.537Z,57.4227,-153.9305,10,2.3,ml,,,,0.2,ak,ak023b62ufkt,2023-08-31T12:20:17.864Z,"13 km SSE of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T12:17:02.348Z,62.1965,-146.2333,18.3,1.5,ml,,,,0.5,ak,ak023b62u6m2,2023-08-31T12:19:01.922Z,"15 km NW of Tolsona, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T12:04:39.790Z,18.0103333333333,-67.1395,7.59,2.35,md,10,189,0.02872,0.15,pr,pr71422803,2023-08-31T12:39:32.240Z,"3 km ESE of Boquerón, Puerto Rico",earthquake,0.43,0.24,0.128811746459784,4,reviewed,pr,pr
2023-08-31T11:59:47.430Z,19.3736667633057,-155.283172607422,0.730000019073486,1.82000005,md,11,152,,0.0900000036,hv,hv73554687,2023-08-31T12:02:49.750Z,"9 km SW of Volcano, Hawaii",earthquake,0.23,0.270000011,0.560000002,9,automatic,hv,hv
2023-08-31T11:51:46.740Z,41.3943333,-111.6573333,9.56,1.32,ml,25,83,0.1307,0.2,uu,uu60548832,2023-08-31T13:36:51.490Z,"15 km ENE of Wolf Creek, Utah",earthquake,0.4,1,0.199,3,reviewed,uu,uu
2023-08-31T11:41:55.347Z,64.7998,-149.0203,16.9,1,ml,,,,0.65,ak,ak023b62e0a6,2023-08-31T11:43:39.307Z,"22 km NNE of Four Mile Road, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T11:40:42.150Z,19.3836669921875,-155.282836914062,0.310000002384186,1.91,ml,9,159,,0.119999997,hv,hv73554672,2023-08-31T11:46:13.550Z,"8 km SW of Volcano, Hawaii",earthquake,0.29,0.370000005,0.27,9,automatic,hv,hv
2023-08-31T11:01:17.165Z,61.3433,-147.0967,12.2,1.5,ml,,,,0.55,ak,ak023b625cp0,2023-08-31T11:03:26.721Z,"46 km WNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T10:59:37.940Z,19.392333984375,-155.272659301758,0.469999998807907,1.88,ml,20,54,,0.200000003,hv,hv73554647,2023-08-31T11:05:13.570Z,"6 km SW of Volcano, Hawaii",earthquake,0.22,0.189999998,0.28,8,automatic,hv,hv
2023-08-31T10:59:37.850Z,19.3845,-155.279833333333,1.78,1.99,ml,15,68,,0.07,hv,hv73554642,2023-08-31T16:23:52.970Z,"8 km SW of Volcano, Hawaii",earthquake,0.17,0.18,0.0940613806808566,8,reviewed,hv,hv
2023-08-31T10:53:06.070Z,31.68192129,-104.4264632,6.337231444999999,2.1,ml,18,68,0.02619876304,0.2,tx,tx2023razh,2023-08-31T17:40:38.201Z,"54 km S of Whites City, New Mexico",earthquake,0.9924200682,0.8486105198,0.1,6,reviewed,tx,tx
2023-08-31T10:52:53.369Z,35.14266667,-97.53283333,4.75,1.1,ml,66,42,0.07018622707,0.38,ok,ok2023razh,2023-08-31T13:47:23.905Z,"5 km W of Goldsby, Oklahoma",earthquake,,0.8,0.3,4,reviewed,ok,ok
2023-08-31T10:40:21.678Z,38.4445,-119.2993,0.8,1.5,ml,8,92.77,0.146,0.1965,nn,nn00865305,2023-08-31T10:43:07.101Z,"17 km ESE of Walker, California",earthquake,,5.8,0.09,2,automatic,nn,nn
2023-08-31T10:32:59.100Z,35.14683333,-97.52933333,5.13,1.85,ml,94,42,0.07378552076,0.3,ok,ok2023rayp,2023-08-31T12:45:33.426Z,"4 km W of Goldsby, Oklahoma",earthquake,,0.6,0.25,40,reviewed,ok,ok
2023-08-31T10:32:46.569Z,62.7765,-148.756,0,1.6,ml,,,,0.43,ak,ak023b61qmk0,2023-08-31T10:34:20.098Z,"69 km S of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T10:29:29.449Z,-9.5312,123.8598,54.612,5.4,mww,72,65,0.459,0.79,us,us7000ksbc,2023-08-31T12:32:31.921Z,"12 km NE of Naisano Dua, Indonesia",earthquake,6.47,5.823,0.093,11,reviewed,us,us
2023-08-31T10:27:28.680Z,34.193,-117.5091667,8.11,1.33,ml,40,42,0.06774,0.19,ci,ci39655786,2023-08-31T10:31:08.017Z,"7 km S of Lytle Creek, CA",earthquake,0.26,0.7,0.116,27,automatic,ci,ci
2023-08-31T09:58:20.100Z,19.2574996948242,-155.369506835938,32.0400009155273,1.98000002,md,42,159,,0.119999997,hv,hv73554597,2023-08-31T10:01:20.100Z,"Island of Hawaii, Hawaii",earthquake,0.65,0.709999979,1.42999995,28,automatic,hv,hv
2023-08-31T09:52:56.010Z,19.1845,-155.681333333333,-0.96,2.35,ml,38,125,,0.23,hv,hv73554587,2023-08-31T16:31:16.320Z,"14 km NNW of Wai‘ōhinu, Hawaii",earthquake,0.41,0.18,0.156603618917155,21,reviewed,hv,hv
2023-08-31T09:52:43.243Z,58.1647,-154.0934,66.9,2.4,ml,,,,0.24,ak,ak023b619h0k,2023-08-31T09:54:47.364Z,"69 km NNE of Karluk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-08-31T09:52:13.020Z,33.6011667,-116.7205,13.26,1,ml,37,73,0.03715,0.19,ci,ci39655770,2023-08-31T13:00:56.580Z,"7 km NW of Anza, CA",earthquake,0.22,0.42,0.169,28,reviewed,ci,ci
2023-08-31T09:51:07.870Z,17.9711666666667,-66.9295,14.52,2.58,md,10,185,0.04798,0.15,pr,pr71422793,2023-08-31T09:58:55.680Z,"2 km W of Guánica, Puerto Rico",earthquake,0.71,0.68,0.0381253700767719,5,reviewed,pr,pr
2023-08-31T09:48:23.060Z,17.8861666666667,-66.85,11.25,2.3,md,12,224,0.09269,0.1,pr,pr71422778,2023-08-31T10:33:37.930Z,"11 km SSE of Maria Antonia, Puerto Rico",earthquake,0.62,0.44,0.216962282300157,7,reviewed,pr,pr
2023-08-31T09:47:33.609Z,63.1454,-149.5019,63.4,1.2,ml,,,,0.62,ak,ak023b618dow,2023-08-31T09:50:02.250Z,"38 km SW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-08-31T09:44:46.242Z,32.10388184,-101.0635004,8.656982422,2.8,ml,19,67,0.1969533133,0.1,tx,tx2023raxa,2023-08-31T18:09:01.183Z,"28 km S of Westbrook, Texas",earthquake,0.8406557514,2.525353444,0,7,reviewed,tx,tx
2023-08-31T09:41:17.014Z,37.0312,-116.7285,0.7,1.5,ml,28,81.52,0.113,0.1897,nn,nn00865301,2023-08-31T09:43:50.271Z,"13 km NNE of Beatty, Nevada",earthquake,,7.4,0.78,23,automatic,nn,nn
2023-08-31T09:38:37.380Z,32.3786667,-115.1265,9.99,2.2,ml,23,70,0.0708,0.29,ci,ci39655762,2023-08-31T09:42:14.130Z,"7 km ENE of Delta, B.C., MX",earthquake,0.6,1.21,0.166,23,automatic,ci,ci
2023-08-31T09:38:20.960Z,35.13283333,-97.553,7.92,1.09,ml,36,91,0.06478728652,0.37,ok,ok2023rawv,2023-08-31T13:19:26.494Z,"3 km NNE of Cole, Oklahoma",earthquake,,0.9,0.17,13,reviewed,ok,ok
2023-08-31T09:38:12.085Z,-1.4553,-77.6749,186.349,4.6,mb,70,40,0.351,0.81,us,us7000ksb3,2023-08-31T10:08:48.040Z,"36 km E of Puyo, Ecuador",earthquake,8.03,6.272,0.03,325,reviewed,us,us
2023-08-31T09:21:20.950Z,19.3336666666667,-155.122166666667,2.87,2.32,md,42,118,,0.16,hv,hv73554557,2023-08-31T16:09:06.198Z,"14 km S of Fern Forest, Hawaii",earthquake,0.32,0.67,0.0415755320902713,11,reviewed,hv,hv
2023-08-31T09:02:10.140Z,33.597,-116.7228333,13.66,1.3,ml,46,40,0.03375,0.19,ci,ci39655754,2023-08-31T13:02:02.000Z,"6 km NW of Anza, CA",earthquake,0.22,0.36,0.224,27,reviewed,ci,ci
2023-08-31T08:58:38.180Z,33.5961685,-116.7166672,13.2,1.55,ml,11,84,0.03967,0.05,ci,ci39655746,2023-08-31T09:02:25.572Z,"6 km NW of Anza, CA",earthquake,0.42,0.87,0.388,8,automatic,ci,ci
2023-08-31T08:58:17.292Z,63.2161,-152.0223,9.5,1,ml,,,,0.54,ak,ak023b60p9pd,2023-08-31T09:00:29.647Z,"",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T08:54:42.120Z,34.629,81.813,10,4.5,mb,62,109,7.152,0.63,us,us7000ksat,2023-08-31T09:25:33.040Z,"204 km S of Aqqan, China",earthquake,8.29,1.899,0.081,45,reviewed,us,us
2023-08-31T08:48:20.170Z,33.598,-116.7233333,13.2,1.6,ml,56,34,0.0343,0.18,ci,ci39655714,2023-08-31T13:02:04.870Z,"7 km NW of Anza, CA",earthquake,0.18,0.33,0.226,26,reviewed,ci,ci
2023-08-31T08:41:17.696Z,64.5449,-147.6067,0,1.6,ml,,,,0.75,ak,ak023b60lmk9,2023-08-31T08:43:16.999Z,"26 km SSW of North Pole, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-08-31T08:37:54.247Z,63.0901,-151.4926,11.1,1.3,ml,,,,0.14,ak,ak023b60kuio,2023-08-31T08:39:23.361Z,"51 km SSE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-08-31T08:36:50.850Z,18.5111666666667,-66.356,79.71,2.79,md,9,211,0.1915,0.14,pr,pr71422773,2023-08-31T08:54:59.490Z,"5 km NNW of Brenas, Puerto Rico",earthquake,1.41,0.84,0.0910962896173066,6,reviewed,pr,pr
